EmployerId,Offered,Status
551378775,ProductX,Lost
476279369,ProductX,Lost
687431591,ProductX,Sold
713879277,ProductX,Sold
385150612,ProductX,Sold
453880330,ProductX,Lost
468654,ProductX,Lost
550326332,ProductX,Lost
416834055,ProductX,Lost
772158,ProductX,Lost
472214593,ProductX,Lost
519272681,ProductX,Lost
448991612,ProductX,Lost
425337378,ProductX,Lost
506624508,ProductX,Lost
606554274,ProductX,Lost
638187,ProductX,Sold
836969,ProductX,Lost
688982506,ProductX,Lost
636202882,ProductX,Sold
847150,ProductX,Lost
717493,ProductX,Sold
83740757,ProductX,Lost
615248010,ProductX,Lost
733445,ProductX,Lost
13546645,ProductX,Sold
704601052,ProductX,Lost
658921465,ProductX,Lost
387335650,ProductX,Lost
109840031,ProductX,Lost
200364800,ProductX,Sold
650629148,ProductX,Lost
660958,ProductX,Lost
23418129,ProductX,Lost
731908,ProductX,Lost
631759374,ProductX,Lost
71564116,ProductX,Lost
470984208,ProductX,Sold
705424939,ProductX,Lost
675973151,ProductX,Lost
1013859,ProductX,Lost
577074,ProductX,Lost
515995745,ProductX,Sold
684709046,ProductX,Lost
505951430,ProductX,Lost
701455005,ProductX,Sold
713653,ProductX,Lost
374452403,ProductX,Lost
490821582,ProductX,Lost
480301660,ProductX,Lost
176961765,ProductX,Lost
308859758,ProductX,Lost
140570118,ProductX,Lost
590379492,ProductX,Lost
594209484,ProductX,Lost
562110,ProductX,Lost
848426,ProductX,Lost
626895106,ProductX,Lost
603430874,ProductX,Lost
